text,cuisine
margherita pizza with basil and mozzarella,Italian
homemade pasta carbonara with pancetta,Italian
spaghetti bolognese with parmesan,Italian
gnocchi pesto with toasted pine nuts,Italian
risotto milanese with saffron,Italian
prosciutto panini with arugula,Italian
spicy tuna roll with soy sauce,Japanese
tonkotsu ramen with pork broth,Japanese
chirashi bowl with sashimi and rice,Japanese
tempura udon with dashi broth,Japanese
yakitori skewers with tare glaze,Japanese
okonomiyaki cabbage pancake,Japanese
pad thai with tamarind sauce,Thai
green curry with coconut milk,Thai
massaman curry with potatoes,Thai
papaya salad with fish sauce,Thai
thai basil fried rice,Thai
drunken noodles with tofu,Thai
al pastor tacos with pineapple,Mexican
chipotle burrito bowl with black beans,Mexican
enchiladas verdes with salsa,Mexican
pozole rojo with hominy,Mexican
chilaquiles with salsa verde,Mexican
carne asada torta sandwich,Mexican
general tso chicken with fried rice,Chinese
stir fried noodles with sesame oil,Chinese
mapo tofu with sichuan peppercorn,Chinese
kung pao shrimp with peanuts,Chinese
dan dan noodles with chili oil,Chinese
beef and broccoli stir fry,Chinese
butter chicken with naan bread,Indian
chana masala with basmati rice,Indian
saag paneer with spinach,Indian
rogan josh lamb curry,Indian
masala dosa with coconut chutney,Indian
tandoori chicken with raita,Indian
falafel wrap with tahini sauce,Middle Eastern
shawarma platter with garlic sauce,Middle Eastern
hummus bowl with pita bread,Middle Eastern
tabbouleh salad with mint,Middle Eastern
mezze plate with baba ganoush,Middle Eastern
kofta kebab with yogurt sauce,Middle Eastern
greek salad with feta and olives,Mediterranean
herbed chicken souvlaki,Mediterranean
spanish paella with seafood,Mediterranean
ratatouille with provencal herbs,Mediterranean
grilled halloumi with lemon,Mediterranean
caprese salad with balsamic,Mediterranean
classic cheeseburger with fries,American
smoked brisket sandwich,American
buttermilk pancakes with maple syrup,American
chicken and waffles with hot sauce,American
mac and cheese with breadcrumbs,American
buffalo wings with ranch dip,American
ahi poke bowl with seaweed,Hawaiian
kalua pork sliders,Hawaiian
lomi salmon salad,Hawaiian
spam musubi snack,Hawaiian
huli huli chicken with rice,Hawaiian
haupia coconut dessert,Hawaiian
croissant and latte breakfast,Cafe
iced matcha latte with oat milk,Cafe
flat white with almond milk,Cafe
blueberry muffin and cappuccino,Cafe
espresso tonic with citrus,Cafe
turmeric latte with honey,Cafe
salmon nigiri with wasabi,Japanese
sashimi platter with miso soup,Japanese
carnitas tacos with salsa roja,Mexican
mole poblano chicken,Mexican
lemongrass chicken banh mi,Vietnamese
pho bo with rare beef,Vietnamese
chinese eggplant with garlic sauce,Chinese
sesame tofu with broccoli,Chinese
paneer tikka masala,Indian
vindaloo curry with potatoes,Indian
zaatar manakeesh flatbread,Middle Eastern
shawarma bowl with pickled veg,Middle Eastern
french onion soup with gruyere,French
coq au vin with mashed potatoes,French
bbq pulled pork sandwich,American
fried catfish with hushpuppies,American
poke nachos with tobiko,Hawaiian
acai bowl with granola,Cafe
